ID Venda,Data Venda,Produto,Quantidade,Total Venda,ID Cliente,Cliente,Email Cliente,Vendedor,Forma de Pagamento,ID Produto,Distribuidora,Preço Unitário,ID Vendedor,Email Vendedor
61,2023-02-18,Produto B,2,45.0,61,Bruce Allen,johnsonangela@example.net,Vendedor 3,Boleto,2,Distribuidora 2,22.5,3,susan27@example.com
62,2023-09-14,Produto A,4,63.6,62,Jennifer Mcclain,hernandezmichael@example.net,Vendedor 3,Boleto,1,Distribuidora 1,15.9,3,susan27@example.com
63,2023-08-22,Produto A,1,15.9,63,Mark Powell,garzavincent@example.org,Vendedor 3,Dinheiro,1,Distribuidora 1,15.9,3,susan27@example.com
64,2023-03-30,Produto A,2,31.8,64,Michael Mayo,joshua42@example.com,Vendedor 1,Cartão de Débito,1,Distribuidora 1,15.9,1,staceyweaver@example.org
65,2023-06-04,Produto C,3,92.69999999999999,65,Brandi Cabrera,christopher42@example.com,Vendedor 2,Cartão de Débito,3,Distribuidora 3,30.9,2,gabriela96@example.org
66,2023-11-08,Produto D,2,81.8,66,Robert Baker,iperry@example.org,Vendedor 3,Boleto,4,Distribuidora 4,40.9,3,susan27@example.com
67,2023-10-10,Produto B,3,67.5,67,Eric Floyd,jessicahenderson@example.org,Vendedor 4,Cartão de Crédito,2,Distribuidora 2,22.5,4,sgonzalez@example.org
68,2023-04-24,Produto B,1,22.5,68,Michael Cain,lisa93@example.net,Vendedor 3,Cartão de Crédito,2,Distribuidora 2,22.5,3,susan27@example.com
69,2023-08-08,Produto D,4,163.6,69,Stanley Nguyen,fmccann@example.org,Vendedor 3,Cartão de Crédito,4,Distribuidora 4,40.9,3,susan27@example.com
70,2023-06-10,Produto B,5,112.5,70,Rebecca Brown,gjohnson@example.com,Vendedor 3,Dinheiro,2,Distribuidora 2,22.5,3,susan27@example.com
71,2023-05-24,Produto D,2,81.8,71,Thomas Rice,martinsteven@example.net,Vendedor 2,Dinheiro,4,Distribuidora 4,40.9,2,gabriela96@example.org
72,2023-11-06,Produto C,2,61.8,72,Breanna Morton,cindy35@example.com,Vendedor 4,Transferência Bancária,3,Distribuidora 3,30.9,4,sgonzalez@example.org
73,2023-09-07,Produto B,5,112.5,73,Jill Martinez,coxmonica@example.net,Vendedor 3,Transferência Bancária,2,Distribuidora 2,22.5,3,susan27@example.com
74,2023-02-24,Produto B,4,90.0,74,Michelle Clark,jessicaswanson@example.net,Vendedor 1,Dinheiro,2,Distribuidora 2,22.5,1,staceyweaver@example.org
75,2023-05-12,Produto C,3,92.69999999999999,75,Elizabeth Dixon,iwilliams@example.com,Vendedor 2,Transferência Bancária,3,Distribuidora 3,30.9,2,gabriela96@example.org
76,2023-01-02,Produto D,1,40.9,76,Madison Schroeder,hruiz@example.com,Vendedor 3,Dinheiro,4,Distribuidora 4,40.9,3,susan27@example.com
77,2023-08-15,Produto B,5,112.5,77,Lawrence Beck,yvettevaughn@example.net,Vendedor 2,Boleto,2,Distribuidora 2,22.5,2,gabriela96@example.org
78,2023-03-14,Produto A,1,15.9,78,Amy Mitchell,sfoley@example.org,Vendedor 1,Boleto,1,Distribuidora 1,15.9,1,staceyweaver@example.org
79,2023-06-29,Produto B,3,67.5,79,Tricia Richmond,owilliams@example.org,Vendedor 4,Boleto,2,Distribuidora 2,22.5,4,sgonzalez@example.org
80,2023-06-23,Produto A,4,63.6,80,Michael King,rojasjennifer@example.com,Vendedor 1,Transferência Bancária,1,Distribuidora 1,15.9,1,staceyweaver@example.org
81,2023-11-09,Produto B,4,90.0,81,Patricia Roman,seanperez@example.com,Vendedor 1,Dinheiro,2,Distribuidora 2,22.5,1,staceyweaver@example.org
82,2023-10-21,Produto C,3,92.69999999999999,82,Roberto Moore,benjaminbrooke@example.net,Vendedor 2,Cartão de Crédito,3,Distribuidora 3,30.9,2,gabriela96@example.org
83,2023-06-01,Produto B,1,22.5,83,Holly Clarke,davismaria@example.org,Vendedor 1,Dinheiro,2,Distribuidora 2,22.5,1,staceyweaver@example.org
84,2023-07-24,Produto B,5,112.5,84,April Lopez,michael44@example.net,Vendedor 1,Boleto,2,Distribuidora 2,22.5,1,staceyweaver@example.org
85,2023-08-08,Produto D,3,122.69999999999999,85,Tony Waters,reyessean@example.org,Vendedor 3,Cartão de Débito,4,Distribuidora 4,40.9,3,susan27@example.com
86,2023-07-29,Produto D,5,204.5,86,Steven Ward,philliptravis@example.net,Vendedor 3,Cartão de Crédito,4,Distribuidora 4,40.9,3,susan27@example.com
87,2023-03-30,Produto A,2,31.8,87,Justin Mcdaniel,rickperez@example.net,Vendedor 4,Cartão de Crédito,1,Distribuidora 1,15.9,4,sgonzalez@example.org
88,2023-12-07,Produto C,2,61.8,88,Raymond Thomas,ahamilton@example.net,Vendedor 2,Dinheiro,3,Distribuidora 3,30.9,2,gabriela96@example.org
89,2023-03-31,Produto C,5,154.5,89,Anthony Price,mbrown@example.org,Vendedor 4,Cartão de Crédito,3,Distribuidora 3,30.9,4,sgonzalez@example.org
90,2023-09-27,Produto A,2,31.8,90,Michele Rivera,zacharystevenson@example.com,Vendedor 3,Transferência Bancária,1,Distribuidora 1,15.9,3,susan27@example.com
91,2023-10-29,Produto A,4,63.6,91,Brian Palmer,petersstephanie@example.net,Vendedor 4,Boleto,1,Distribuidora 1,15.9,4,sgonzalez@example.org
92,2023-11-07,Produto C,3,92.69999999999999,92,Emily Ryan,kayla84@example.com,Vendedor 3,Cartão de Débito,3,Distribuidora 3,30.9,3,susan27@example.com
93,2023-03-23,Produto A,4,63.6,93,Steven Downs,schultzjacqueline@example.com,Vendedor 1,Dinheiro,1,Distribuidora 1,15.9,1,staceyweaver@example.org
94,2023-03-15,Produto C,1,30.9,94,Kevin Newton,nkey@example.net,Vendedor 4,Transferência Bancária,3,Distribuidora 3,30.9,4,sgonzalez@example.org
95,2023-09-17,Produto B,2,45.0,95,Donald Edwards,terri85@example.org,Vendedor 3,Transferência Bancária,2,Distribuidora 2,22.5,3,susan27@example.com
96,2023-05-11,Produto C,2,61.8,96,Alicia Blevins,skennedy@example.net,Vendedor 1,Cartão de Crédito,3,Distribuidora 3,30.9,1,staceyweaver@example.org
97,2023-01-13,Produto D,5,204.5,97,Jay Miller,hansonlaura@example.org,Vendedor 1,Cartão de Crédito,4,Distribuidora 4,40.9,1,staceyweaver@example.org
98,2023-03-04,Produto D,4,163.6,98,Kelly Kelley,amandaanderson@example.com,Vendedor 1,Boleto,4,Distribuidora 4,40.9,1,staceyweaver@example.org
99,2023-02-20,Produto D,3,122.69999999999999,99,Thomas Gonzalez,charles12@example.com,Vendedor 2,Cartão de Crédito,4,Distribuidora 4,40.9,2,gabriela96@example.org
100,2023-11-10,Produto A,1,15.9,100,Jessica French,jhernandez@example.com,Vendedor 1,Transferência Bancária,1,Distribuidora 1,15.9,1,staceyweaver@example.org
101,2023-11-13,Produto A,4,63.6,101,Ms. Olivia Lee,blevinselizabeth@example.com,Vendedor 1,Dinheiro,1,Distribuidora 1,15.9,1,staceyweaver@example.org
102,2023-02-11,Produto B,1,22.5,102,Catherine Herrera,christopher70@example.org,Vendedor 1,Cartão de Crédito,2,Distribuidora 2,22.5,1,staceyweaver@example.org
103,2023-11-02,Produto A,3,47.7,103,Michael Brown,diane38@example.com,Vendedor 2,Dinheiro,1,Distribuidora 1,15.9,2,gabriela96@example.org
104,2023-07-19,Produto A,5,79.5,104,Paula Jones,martinjack@example.org,Vendedor 1,Cartão de Débito,1,Distribuidora 1,15.9,1,staceyweaver@example.org
105,2023-05-31,Produto B,2,45.0,105,Kevin Kane,wjohnson@example.com,Vendedor 4,Dinheiro,2,Distribuidora 2,22.5,4,sgonzalez@example.org
106,2023-12-15,Produto D,5,204.5,106,Meredith Kramer,mendeztaylor@example.com,Vendedor 4,Cartão de Crédito,4,Distribuidora 4,40.9,4,sgonzalez@example.org
107,2023-02-11,Produto A,3,47.7,107,Eric Espinoza,kingamber@example.com,Vendedor 1,Cartão de Débito,1,Distribuidora 1,15.9,1,staceyweaver@example.org
108,2023-08-19,Produto D,2,81.8,108,Emily Bell,francisco12@example.net,Vendedor 2,Cartão de Débito,4,Distribuidora 4,40.9,2,gabriela96@example.org
109,2023-09-08,Produto B,4,90.0,109,Marc Palmer,wilsonsteven@example.com,Vendedor 1,Transferência Bancária,2,Distribuidora 2,22.5,1,staceyweaver@example.org
110,2023-12-18,Produto C,1,30.9,110,Tiffany Graham,gbennett@example.org,Vendedor 2,Cartão de Crédito,3,Distribuidora 3,30.9,2,gabriela96@example.org
111,2023-05-23,Produto D,5,204.5,111,Danny Wagner,jamesstark@example.net,Vendedor 3,Transferência Bancária,4,Distribuidora 4,40.9,3,susan27@example.com
112,2023-07-10,Produto D,3,122.69999999999999,112,Vanessa Franco,karen41@example.com,Vendedor 1,Dinheiro,4,Distribuidora 4,40.9,1,staceyweaver@example.org
113,2023-04-03,Produto D,3,122.69999999999999,113,Nicholas Owens,danielle50@example.com,Vendedor 3,Dinheiro,4,Distribuidora 4,40.9,3,susan27@example.com
114,2023-08-01,Produto D,5,204.5,114,Phillip Weber,lauren52@example.com,Vendedor 4,Cartão de Débito,4,Distribuidora 4,40.9,4,sgonzalez@example.org
115,2023-11-11,Produto A,5,79.5,115,Angelica Browning,calvin22@example.com,Vendedor 1,Dinheiro,1,Distribuidora 1,15.9,1,staceyweaver@example.org
116,2023-03-21,Produto D,2,81.8,116,Richard Hancock,shortjohn@example.net,Vendedor 4,Cartão de Débito,4,Distribuidora 4,40.9,4,sgonzalez@example.org
117,2023-04-27,Produto A,2,31.8,117,Mariah Harris,carterkathleen@example.org,Vendedor 1,Cartão de Débito,1,Distribuidora 1,15.9,1,staceyweaver@example.org
118,2023-04-03,Produto A,1,15.9,118,Katelyn Nunez,probinson@example.org,Vendedor 2,Cartão de Débito,1,Distribuidora 1,15.9,2,gabriela96@example.org
119,2023-08-09,Produto A,4,63.6,119,Lance Garcia,dkoch@example.org,Vendedor 2,Dinheiro,1,Distribuidora 1,15.9,2,gabriela96@example.org
120,2023-06-02,Produto B,4,90.0,120,Larry Merritt,morganjeanette@example.com,Vendedor 4,Cartão de Débito,2,Distribuidora 2,22.5,4,sgonzalez@example.org
121,2023-05-06,Produto D,3,122.69999999999999,121,Christopher Watson,david69@example.net,Vendedor 4,Dinheiro,4,Distribuidora 4,40.9,4,sgonzalez@example.org
122,2023-11-03,Produto D,1,40.9,122,Jason Robertson II,martinbrandon@example.net,Vendedor 2,Boleto,4,Distribuidora 4,40.9,2,gabriela96@example.org
123,2023-07-06,Produto D,5,204.5,123,Maria Duncan,gkaiser@example.org,Vendedor 2,Cartão de Crédito,4,Distribuidora 4,40.9,2,gabriela96@example.org
124,2023-03-17,Produto B,1,22.5,124,Cindy Garcia,kmorgan@example.net,Vendedor 4,Transferência Bancária,2,Distribuidora 2,22.5,4,sgonzalez@example.org
125,2023-07-07,Produto C,4,123.6,125,Angelica Miller,shepherdjoseph@example.org,Vendedor 2,Transferência Bancária,3,Distribuidora 3,30.9,2,gabriela96@example.org
126,2023-08-02,Produto D,4,163.6,126,Tina Bell,lwilliams@example.net,Vendedor 1,Dinheiro,4,Distribuidora 4,40.9,1,staceyweaver@example.org
127,2023-05-30,Produto C,4,123.6,127,Jason Steele,daniel72@example.com,Vendedor 3,Cartão de Débito,3,Distribuidora 3,30.9,3,susan27@example.com
128,2023-09-06,Produto D,4,163.6,128,Michael Brooks,wardrobert@example.com,Vendedor 1,Dinheiro,4,Distribuidora 4,40.9,1,staceyweaver@example.org
129,2023-02-19,Produto A,3,47.7,129,Michael Johnson,erickennedy@example.org,Vendedor 3,Transferência Bancária,1,Distribuidora 1,15.9,3,susan27@example.com
130,2023-12-10,Produto A,4,63.6,130,Natasha Johnson,sarah01@example.net,Vendedor 1,Cartão de Débito,1,Distribuidora 1,15.9,1,staceyweaver@example.org
131,2023-10-07,Produto A,2,31.8,131,Ronald Chapman,trujillolindsey@example.org,Vendedor 3,Cartão de Débito,1,Distribuidora 1,15.9,3,susan27@example.com
132,2023-11-22,Produto C,3,92.69999999999999,132,David Stokes,jody86@example.com,Vendedor 4,Cartão de Débito,3,Distribuidora 3,30.9,4,sgonzalez@example.org
133,2023-03-01,Produto C,2,61.8,133,Emily Lopez,kwolfe@example.org,Vendedor 3,Dinheiro,3,Distribuidora 3,30.9,3,susan27@example.com
134,2023-10-18,Produto A,4,63.6,134,James Herrera,davidjames@example.org,Vendedor 1,Cartão de Crédito,1,Distribuidora 1,15.9,1,staceyweaver@example.org
135,2023-01-15,Produto B,1,22.5,135,David Williams,lopezhenry@example.com,Vendedor 2,Dinheiro,2,Distribuidora 2,22.5,2,gabriela96@example.org
136,2023-02-07,Produto B,2,45.0,136,Michael Bernard,qwest@example.com,Vendedor 3,Cartão de Débito,2,Distribuidora 2,22.5,3,susan27@example.com
137,2023-09-24,Produto D,1,40.9,137,Jacqueline Castillo,stephengrant@example.org,Vendedor 3,Dinheiro,4,Distribuidora 4,40.9,3,susan27@example.com
138,2023-07-04,Produto D,2,81.8,138,Anthony Herring,nicole29@example.org,Vendedor 2,Boleto,4,Distribuidora 4,40.9,2,gabriela96@example.org
139,2023-05-27,Produto A,1,15.9,139,Joseph Patterson,brendahopkins@example.com,Vendedor 4,Cartão de Débito,1,Distribuidora 1,15.9,4,sgonzalez@example.org
140,2023-06-26,Produto D,5,204.5,140,Joseph Reyes,ssmith@example.org,Vendedor 3,Cartão de Débito,4,Distribuidora 4,40.9,3,susan27@example.com
141,2023-05-15,Produto A,5,79.5,141,Brenda Kelly,michellerivera@example.com,Vendedor 2,Cartão de Débito,1,Distribuidora 1,15.9,2,gabriela96@example.org
142,2023-06-29,Produto C,3,92.69999999999999,142,Maria Washington,collinstheresa@example.org,Vendedor 4,Transferência Bancária,3,Distribuidora 3,30.9,4,sgonzalez@example.org
143,2023-03-24,Produto D,2,81.8,143,Nancy Dickerson,robertsdominique@example.net,Vendedor 3,Cartão de Débito,4,Distribuidora 4,40.9,3,susan27@example.com
144,2023-05-13,Produto A,4,63.6,144,Jennifer Whitaker,briannarodriguez@example.com,Vendedor 1,Cartão de Débito,1,Distribuidora 1,15.9,1,staceyweaver@example.org
145,2023-04-05,Produto D,1,40.9,145,Terry Johnson,haynesmichelle@example.org,Vendedor 3,Boleto,4,Distribuidora 4,40.9,3,susan27@example.com
146,2023-08-23,Produto D,2,81.8,146,Tara Mendoza,marytorres@example.net,Vendedor 3,Cartão de Crédito,4,Distribuidora 4,40.9,3,susan27@example.com
147,2023-08-06,Produto B,5,112.5,147,Todd Williams,shall@example.net,Vendedor 1,Transferência Bancária,2,Distribuidora 2,22.5,1,staceyweaver@example.org
148,2023-08-13,Produto D,3,122.69999999999999,148,Jeremy Ball,michael64@example.com,Vendedor 3,Cartão de Débito,4,Distribuidora 4,40.9,3,susan27@example.com
149,2023-02-22,Produto A,2,31.8,149,Howard Hudson,lellison@example.org,Vendedor 1,Dinheiro,1,Distribuidora 1,15.9,1,staceyweaver@example.org
150,2023-10-13,Produto A,1,15.9,150,Renee Cannon,bbyrd@example.org,Vendedor 4,Cartão de Crédito,1,Distribuidora 1,15.9,4,sgonzalez@example.org
151,2023-09-30,Produto B,2,45.0,151,Matthew Welch,burnsmelissa@example.net,Vendedor 1,Dinheiro,2,Distribuidora 2,22.5,1,staceyweaver@example.org
152,2023-02-05,Produto A,1,15.9,152,Anna Christian,guerrerodaniel@example.com,Vendedor 1,Dinheiro,1,Distribuidora 1,15.9,1,staceyweaver@example.org
153,2023-09-06,Produto D,1,40.9,153,Robert Johns,hensleylucas@example.net,Vendedor 4,Boleto,4,Distribuidora 4,40.9,4,sgonzalez@example.org
154,2023-09-21,Produto A,4,63.6,154,Joel Cabrera,eklein@example.org,Vendedor 2,Boleto,1,Distribuidora 1,15.9,2,gabriela96@example.org
155,2023-05-22,Produto B,3,67.5,155,Tyler Byrd,gwalters@example.com,Vendedor 4,Boleto,2,Distribuidora 2,22.5,4,sgonzalez@example.org
156,2023-03-17,Produto A,5,79.5,156,Timothy Downs,marcshaffer@example.org,Vendedor 4,Boleto,1,Distribuidora 1,15.9,4,sgonzalez@example.org
157,2023-11-04,Produto C,1,30.9,157,Nathan Craig,emily11@example.com,Vendedor 1,Dinheiro,3,Distribuidora 3,30.9,1,staceyweaver@example.org
158,2023-10-29,Produto A,5,79.5,158,Christopher Hernandez,jburns@example.com,Vendedor 2,Dinheiro,1,Distribuidora 1,15.9,2,gabriela96@example.org
159,2023-12-15,Produto A,1,15.9,159,Emily Adams,jjohnson@example.org,Vendedor 1,Cartão de Crédito,1,Distribuidora 1,15.9,1,staceyweaver@example.org
160,2023-02-19,Produto C,3,92.69999999999999,160,Michael Dawson,krista40@example.net,Vendedor 3,Transferência Bancária,3,Distribuidora 3,30.9,3,susan27@example.com
161,2023-05-30,Produto B,3,67.5,161,Jake Hernandez,glennhale@example.net,Vendedor 1,Boleto,2,Distribuidora 2,22.5,1,staceyweaver@example.org
162,2023-12-07,Produto A,1,15.9,162,Julie Avery,sawyerjoel@example.com,Vendedor 2,Transferência Bancária,1,Distribuidora 1,15.9,2,gabriela96@example.org
163,2023-03-10,Produto D,5,204.5,163,Teresa Wilson,zrobinson@example.com,Vendedor 3,Boleto,4,Distribuidora 4,40.9,3,susan27@example.com
164,2023-11-10,Produto D,4,163.6,164,Tony Dudley,smithkristen@example.net,Vendedor 4,Boleto,4,Distribuidora 4,40.9,4,sgonzalez@example.org
165,2023-10-14,Produto D,5,204.5,165,Katie Boyd,laurenmitchell@example.com,Vendedor 1,Transferência Bancária,4,Distribuidora 4,40.9,1,staceyweaver@example.org
